Week_end,ILI_Vaccinated,ILI_Unvaccinated,ILI_wAbsence_Vaccinated,ILI_wAbsence_Unvaccinated,Vaccination_Search
13-May-12,0.023,0.024,0.011,0.013,41
20-May-12,0.022,0.032,0.012,0.017,42
27-May-12,0.028,0.031,0.015,0.018,39
3-Jun-12,0.028,0.043,0.015,0.027,40
10-Jun-12,0.028,0.043,0.017,0.026,41
17-Jun-12,0.029,0.031,0.017,0.017,41
24-Jun-12,0.03,0.038,0.017,0.023,41
1-Jul-12,0.031,0.045,0.018,0.026,38
8-Jul-12,0.035,0.048,0.021,0.029,41
15-Jul-12,0.036,0.047,0.022,0.028,41
22-Jul-12,0.044,0.048,0.026,0.031,43
29-Jul-12,0.038,0.045,0.026,0.028,39
5-Aug-12,0.038,0.039,0.025,0.024,39
12-Aug-12,0.036,0.044,0.024,0.029,40
19-Aug-12,0.039,0.049,0.025,0.032,40
26-Aug-12,0.035,0.044,0.024,0.029,39
2-Sep-12,0.032,0.036,0.019,0.023,41
9-Sep-12,0.03,0.032,0.019,0.019,43
16-Sep-12,0.025,0.033,0.014,0.019,45
23-Sep-12,0.021,0.025,0.012,0.014,46
30-Sep-12,0.023,0.021,0.014,0.011,46
7-Oct-12,0.018,0.02,0.011,0.009,46
14-Oct-12,0.017,0.017,0.008,0.008,48
12-May-13,0.017,0.019,0.009,0.011,44
19-May-13,0.02,0.021,0.011,0.01,41
26-May-13,0.018,0.022,0.01,0.013,43
2-Jun-13,0.022,0.027,0.012,0.018,45
9-Jun-13,0.025,0.029,0.014,0.018,44
16-Jun-13,0.027,0.028,0.015,0.015,44
23-Jun-13,0.024,0.025,0.013,0.014,43
30-Jun-13,0.026,0.027,0.015,0.014,40
7-Jul-13,0.027,0.03,0.016,0.017,43
14-Jul-13,0.025,0.028,0.015,0.015,41
21-Jul-13,0.026,0.027,0.014,0.014,40
28-Jul-13,0.024,0.021,0.014,0.01,40
4-Aug-13,0.024,0.027,0.015,0.016,40
11-Aug-13,0.028,0.03,0.017,0.016,41
18-Aug-13,0.027,0.035,0.017,0.023,43
25-Aug-13,0.032,0.039,0.018,0.024,42
1-Sep-13,0.031,0.044,0.019,0.026,42
8-Sep-13,0.028,0.04,0.017,0.024,43
15-Sep-13,0.025,0.03,0.015,0.017,43
22-Sep-13,0.026,0.027,0.016,0.017,43
29-Sep-13,0.022,0.025,0.014,0.015,48
6-Oct-13,0.021,0.027,0.012,0.016,47
13-Oct-13,0.018,0.026,0.01,0.017,47
11-May-14,0.016,0.017,0.01,0.009,46
18-May-14,0.018,0.022,0.01,0.013,48
25-May-14,0.024,0.026,0.014,0.013,42
1-Jun-14,0.025,0.033,0.015,0.019,47
8-Jun-14,0.026,0.032,0.015,0.019,45
15-Jun-14,0.026,0.03,0.014,0.018,44
22-Jun-14,0.026,0.031,0.014,0.017,44
29-Jun-14,0.028,0.035,0.018,0.021,42
6-Jul-14,0.024,0.036,0.015,0.023,41
13-Jul-14,0.028,0.035,0.016,0.022,41
20-Jul-14,0.0003,0.0004,0.0001,0.0002,41
27-Jul-14,0.029,0.029,0.019,0.018,41
3-Aug-14,0.032,0.033,0.02,0.021,41
10-Aug-14,0.035,0.038,0.022,0.025,39
17-Aug-14,0.035,0.043,0.022,0.029,42
24-Aug-14,0.041,0.05,0.028,0.035,41
31-Aug-14,0.043,0.05,0.028,0.035,40
7-Sep-14,0.04,0.042,0.027,0.027,45
14-Sep-14,0.033,0.039,0.021,0.028,48
21-Sep-14,0.035,0.035,0.022,0.023,46
28-Sep-14,0.024,0.031,0.014,0.021,47
5-Oct-14,0.022,0.023,0.012,0.015,51
12-Oct-14,0.02,0.02,0.01,0.009,52
10-May-15,0.018,0.023,0.01,0.014,49
17-May-15,0.019,0.026,0.01,0.016,47
24-May-15,0.022,0.029,0.013,0.018,44
31-May-15,0.023,0.032,0.014,0.018,46
7-Jun-15,0.027,0.034,0.016,0.021,47
14-Jun-15,0.027,0.032,0.015,0.019,44
21-Jun-15,0.025,0.03,0.014,0.018,48
28-Jun-15,0.026,0.03,0.016,0.017,52
5-Jul-15,0.026,0.033,0.016,0.02,47
12-Jul-15,0.028,0.029,0.018,0.016,43
19-Jul-15,0.026,0.032,0.018,0.019,43
26-Jul-15,0.025,0.029,0.016,0.016,45
2-Aug-15,0.025,0.032,0.016,0.021,44
9-Aug-15,0.028,0.039,0.019,0.026,43
16-Aug-15,0.032,0.04,0.02,0.026,47
23-Aug-15,0.036,0.049,0.024,0.036,44
30-Aug-15,0.038,0.05,0.025,0.036,45
6-Sep-15,0.033,0.047,0.022,0.033,47
13-Sep-15,0.035,0.044,0.022,0.031,50
20-Sep-15,0.033,0.038,0.021,0.024,49
27-Sep-15,0.026,0.034,0.016,0.023,49
4-Oct-15,0.022,0.028,0.013,0.017,54
11-Oct-15,0.019,0.021,0.012,0.012,52
8-May-16,0.017,0.024,0.01,0.013,48
15-May-16,0.014,0.016,0.011,0.011,47
22-May-16,0.02,0.019,0.015,0.014,49
29-May-16,0.017,0.022,0.015,0.017,47
5-Jun-16,0.018,0.025,0.011,0.015,47
12-Jun-16,0.019,0.023,0.013,0.015,47
19-Jun-16,0.018,0.023,0.01,0.013,48
26-Jun-16,0.02,0.02,0.013,0.013,48
3-Jul-16,0.017,0.02,0.011,0.014,44
10-Jul-16,0.02,0.025,0.013,0.016,47
17-Jul-16,0.021,0.021,0.014,0.015,48
24-Jul-16,0.022,0.02,0.015,0.013,47
31-Jul-16,0.019,0.023,0.013,0.015,48
7-Aug-16,0.021,0.026,0.014,0.018,45
14-Aug-16,0.02,0.027,0.015,0.02,47
21-Aug-16,0.023,0.032,0.017,0.023,49
28-Aug-16,0.023,0.031,0.018,0.023,49
4-Sep-16,0.025,0.031,0.017,0.022,48
11-Sep-16,0.024,0.03,0.018,0.022,49
18-Sep-16,0.023,0.029,0.016,0.022,52
25-Sep-16,0.021,0.025,0.016,0.018,54
2-Oct-16,0.018,0.022,0.013,0.016,52
9-Oct-16,0.018,0.02,0.014,0.014,56